"date","shrub_num","aspect","tag_num","treatment","species","plant_nr","dist_fr_shr","tp_color","flower_type","flower_count"
2021-06-15,5,"north",104,"shrub","CARRUP",1,24,"WS","new",0
2021-06-15,5,"north",104,"shrub","CARRUP",1,24,"WS","old",0
2021-06-17,5,"north",104,"shrub","CARRUP",1,24,"WS","new",0
2021-06-17,5,"north",104,"shrub","CARRUP",1,24,"WS","old",0
2021-06-22,5,"north",104,"shrub","CARRUP",1,24,"WS","new",1
2021-06-22,5,"north",104,"shrub","CARRUP",1,24,"WS","old",0
2021-06-30,5,"north",104,"shrub","CARRUP",1,24,"WS","new",NaN
2021-06-30,5,"north",104,"shrub","CARRUP",1,24,"WS","old",NaN
2021-07-01,5,"north",104,"shrub","CARRUP",1,24,"WS","new",0
2021-07-01,5,"north",104,"shrub","CARRUP",1,24,"WS","old",1
2021-07-08,5,"north",104,"shrub","CARRUP",1,24,"WS","new",0
2021-07-08,5,"north",104,"shrub","CARRUP",1,24,"WS","old",0
2021-07-14,5,"north",104,"shrub","CARRUP",1,24,"WS","new",0
2021-07-14,5,"north",104,"shrub","CARRUP",1,24,"WS","old",0
2021-07-21,5,"north",104,"shrub","CARRUP",1,24,"WS","new",0
2021-07-21,5,"north",104,"shrub","CARRUP",1,24,"WS","old",0
2021-07-28,5,"north",104,"shrub","CARRUP",1,24,"WS","new",0
2021-07-28,5,"north",104,"shrub","CARRUP",1,24,"WS","old",0
2021-08-04,5,"north",104,"shrub","CARRUP",1,24,"WS","new",0
2021-08-04,5,"north",104,"shrub","CARRUP",1,24,"WS","old",0
2021-08-10,5,"north",104,"shrub","CARRUP",1,24,"WS","new",0
2021-08-10,5,"north",104,"shrub","CARRUP",1,24,"WS","old",0
2021-08-19,5,"north",104,"shrub","CARRUP",1,24,"WS","new",0
2021-08-19,5,"north",104,"shrub","CARRUP",1,24,"WS","old",0
2021-06-15,5,"north",104,"shrub","CARRUP",2,31,"GH","new",0
2021-06-15,5,"north",104,"shrub","CARRUP",2,31,"GH","old",0
2021-06-17,5,"north",104,"shrub","CARRUP",2,31,"GH","new",0
2021-06-17,5,"north",104,"shrub","CARRUP",2,31,"GH","old",0
2021-06-22,5,"north",104,"shrub","CARRUP",2,31,"GH","new",1
2021-06-22,5,"north",104,"shrub","CARRUP",2,31,"GH","old",0
2021-06-30,5,"north",104,"shrub","CARRUP",2,31,"GH","new",NaN
2021-06-30,5,"north",104,"shrub","CARRUP",2,31,"GH","old",NaN
2021-07-01,5,"north",104,"shrub","CARRUP",2,31,"GH","new",0
2021-07-01,5,"north",104,"shrub","CARRUP",2,31,"GH","old",1
2021-07-08,5,"north",104,"shrub","CARRUP",2,31,"GH","new",0
2021-07-08,5,"north",104,"shrub","CARRUP",2,31,"GH","old",0
2021-07-14,5,"north",104,"shrub","CARRUP",2,31,"GH","new",0
2021-07-14,5,"north",104,"shrub","CARRUP",2,31,"GH","old",0
2021-07-21,5,"north",104,"shrub","CARRUP",2,31,"GH","new",0
2021-07-21,5,"north",104,"shrub","CARRUP",2,31,"GH","old",0
2021-07-28,5,"north",104,"shrub","CARRUP",2,31,"GH","new",0
2021-07-28,5,"north",104,"shrub","CARRUP",2,31,"GH","old",0
2021-08-04,5,"north",104,"shrub","CARRUP",2,31,"GH","new",0
2021-08-04,5,"north",104,"shrub","CARRUP",2,31,"GH","old",0
2021-08-10,5,"north",104,"shrub","CARRUP",2,31,"GH","new",0
2021-08-10,5,"north",104,"shrub","CARRUP",2,31,"GH","old",0
2021-08-19,5,"north",104,"shrub","CARRUP",2,31,"GH","new",0
2021-08-19,5,"north",104,"shrub","CARRUP",2,31,"GH","old",0
2021-06-15,5,"north",104,"shrub","CARRUP",3,26,"RH","new",0
2021-06-15,5,"north",104,"shrub","CARRUP",3,26,"RH","old",0
2021-06-17,5,"north",104,"shrub","CARRUP",3,26,"RH","new",0
2021-06-17,5,"north",104,"shrub","CARRUP",3,26,"RH","old",0
2021-06-22,5,"north",104,"shrub","CARRUP",3,26,"RH","new",1
2021-06-22,5,"north",104,"shrub","CARRUP",3,26,"RH","old",0
2021-06-30,5,"north",104,"shrub","CARRUP",3,26,"RH","new",NaN
2021-06-30,5,"north",104,"shrub","CARRUP",3,26,"RH","old",NaN
2021-07-01,5,"north",104,"shrub","CARRUP",3,26,"RH","new",0
2021-07-01,5,"north",104,"shrub","CARRUP",3,26,"RH","old",1
2021-07-08,5,"north",104,"shrub","CARRUP",3,26,"RH","new",0
2021-07-08,5,"north",104,"shrub","CARRUP",3,26,"RH","old",0
2021-07-14,5,"north",104,"shrub","CARRUP",3,26,"RH","new",0
2021-07-14,5,"north",104,"shrub","CARRUP",3,26,"RH","old",0
2021-07-21,5,"north",104,"shrub","CARRUP",3,26,"RH","new",0
2021-07-21,5,"north",104,"shrub","CARRUP",3,26,"RH","old",0
2021-07-28,5,"north",104,"shrub","CARRUP",3,26,"RH","new",0
2021-07-28,5,"north",104,"shrub","CARRUP",3,26,"RH","old",0
2021-08-04,5,"north",104,"shrub","CARRUP",3,26,"RH","new",0
2021-08-04,5,"north",104,"shrub","CARRUP",3,26,"RH","old",0
2021-08-10,5,"north",104,"shrub","CARRUP",3,26,"RH","new",0
2021-08-10,5,"north",104,"shrub","CARRUP",3,26,"RH","old",0
2021-08-19,5,"north",104,"shrub","CARRUP",3,26,"RH","new",0
2021-08-19,5,"north",104,"shrub","CARRUP",3,26,"RH","old",0
2021-06-15,5,"north",104,"shrub","GEUROS",1,60,"WS","new",0
2021-06-15,5,"north",104,"shrub","GEUROS",1,60,"WS","old",0
2021-06-17,5,"north",104,"shrub","GEUROS",1,60,"WS","new",1
2021-06-17,5,"north",104,"shrub","GEUROS",1,60,"WS","old",0
2021-06-22,5,"north",104,"shrub","GEUROS",1,60,"WS","new",0
2021-06-22,5,"north",104,"shrub","GEUROS",1,60,"WS","old",1
2021-06-30,5,"north",104,"shrub","GEUROS",1,60,"WS","new",NaN
2021-06-30,5,"north",104,"shrub","GEUROS",1,60,"WS","old",NaN
2021-07-01,5,"north",104,"shrub","GEUROS",1,60,"WS","new",0
