"date","shrub_num","aspect","tag_num","treatment","time_visited","pollinator_ID","plant_visited","cloud_cover","wind","start_time","end_time","notes"
2021-06-23,26,"north",NaN,"open",09:59:00,"fly","GEUROS",25,"<10",09:50:00,10:00:00,"in notebook"
2021-06-24,NaN,"north",NaN,"shrub",09:03:00,"bombus","SALIX",95,"<10",08:55:00,09:05:00,"not in plot"
2021-06-24,NaN,"north",NaN,"open",09:58:00,"bombus","CASOCC",100,"<10",09:54:00,10:04:00,"not in plot, but close"
2021-06-30,47,"south",NaN,"shrub",10:09:00,"fly","SALIX",25,"<10",10:05:00,10:15:00,NaN
2021-06-30,47,"south",NaN,"open",10:10:00,"ant","PHLPUL",25,"<10",10:05:00,10:15:00,NaN
2021-06-30,30,"south",NaN,"open",10:30:00,"hover fly","AREFEN",40,"<10",10:22:00,10:32:00,NaN
2021-06-30,49,"south",NaN,"shrub",10:47:00,"fly","SALIX",40,"<10",10:38:00,10:48:00,NaN
2021-07-01,6,"north",NaN,"open",09:42:00,"ant","LLOSER",50,"<10",09:42:00,09:52:00,NaN
2021-07-06,15,"north",NaN,"shrub",10:04:00,"bombus","SALIX",10,"<10",10:00:00,10:10:00,NaN
2021-07-06,54,"south",NaN,"open",12:06:00,"fly","SALIX",50,"<10",11:57:00,12:07:00,NaN
2021-07-06,44,"south",NaN,"open",12:13:00,"fly","GEUROS",50,"<10",12:12:00,12:22:00,NaN
2021-07-06,44,"south",NaN,"open",12:14:00,"fly","GEUROS",50,"<10",12:12:00,12:22:00,NaN
2021-07-06,44,"south",NaN,"open",12:17:00,"fly","GEUROS",50,"<10",12:12:00,12:22:00,NaN
2021-07-06,44,"south",NaN,"shrub",12:19:00,"hover fly","SAXROH",50,"<10",12:12:00,12:22:00,NaN
2021-07-06,33,"south",NaN,"shrub",12:33:00,"ant","TETACA",70,"<10",12:30:00,12:40:00,NaN
2021-07-06,49,"south",NaN,"shrub",12:42:00,"fly","POTGLA",60,"<10",12:42:00,12:52:00,"NOT GEUROS"
2021-07-06,49,"south",NaN,"shrub",12:43:00,"fly","POTGLA",60,"<10",12:42:00,12:52:00,NaN
