"date_collected","shrub_num","aspect","tag_num","treatment","species","plant_nr","dist_fr_shr","total_nr_infl","nr_infl_coll","nr_seeds","wt_seeds_mg","notes"
2021-08-23,5,"north",104,"shrub","CARRUP",1,24,1,1,4,0.517,NaN
2021-08-23,5,"north",104,"shrub","CARRUP",2,31,1,1,1,0.133,NaN
2021-08-23,5,"north",104,"shrub","CARRUP",3,26,1,1,4,0.558,NaN
2021-08-23,5,"north",104,"shrub","GEUROS",1,60,1,1,0,NaN,NaN
NaN,5,"north",104,"shrub","GEUROS",2,42,1,NaN,NaN,NaN,"eaten"
2021-08-23,5,"north",104,"shrub","GEUROS",3,34,1,1,8,2.262,NaN
2021-08-23,5,"north",104,"shrub","GEUROS",4,11,1,1,9,9.35,NaN
2021-08-23,5,"north",104,"shrub","GEUROS",5,15,1,1,6,3.19,NaN
NaN,5,"north",104,"shrub","POLVIV",1,4,1,0,NaN,NaN,NaN
2021-08-23,5,"north",104,"shrub","KOBMYO",1,25,2,2,6,0.393,NaN
2021-08-23,5,"north",104,"shrub","KOBMYO",2,63,3,3,8,0.955,NaN
NaN,5,"north",104,"shrub","LLOSER",1,10,1,0,NaN,NaN,NaN
NaN,5,"north",104,"shrub","LLOSER",2,22,1,0,NaN,NaN,NaN
NaN,5,"north",104,"shrub","TRIDAS",1,43,1,0,NaN,NaN,NaN
NaN,5,"north",104,"shrub","TRIDAS",2,17,1,0,NaN,NaN,NaN
2021-08-23,5,"north",104,"shrub","TRIDAS",3,21,4,4,37,86.175,NaN
NaN,5,"north",104,"shrub","TRIDAS",4,58,1,0,NaN,NaN,NaN
NaN,5,"north",104,"shrub","TRIDAS",5,29,1,0,NaN,NaN,NaN
2021-08-23,5,"north",267,"control","KOBMYO",1,NaN,4,4,13,2.944,NaN
2021-08-23,5,"north",267,"control","KOBMYO",2,NaN,2,2,10,1.342,NaN
2021-08-23,5,"north",267,"control","KOBMYO",3,NaN,4,4,24,5.286,NaN
2021-08-23,5,"north",267,"control","KOBMYO",4,NaN,1,1,4,0.488,NaN
2021-08-23,5,"north",267,"control","KOBMYO",5,NaN,9,9,36,6.701,NaN
2021-08-23,5,"north",267,"control","CARRUP",1,NaN,1,1,2,3.505,NaN
NaN,5,"north",267,"control","CARRUP",2,NaN,1,0,NaN,NaN,"eaten"
NaN,5,"north",267,"control","LLOSER",1,NaN,1,0,NaN,NaN,NaN
NaN,5,"north",267,"control","LLOSER",2,NaN,1,0,NaN,NaN,NaN
NaN,5,"north",267,"control","TRIDAS",1,NaN,1,0,NaN,NaN,NaN
NaN,5,"north",267,"control","TRIDAS",2,NaN,2,0,NaN,NaN,NaN
NaN,5,"north",267,"control","TRIDAS",3,NaN,1,0,NaN,NaN,NaN
NaN,5,"north",267,"control","TRIDAS",4,NaN,1,0,NaN,NaN,NaN
NaN,5,"north",267,"control","TRIDAS",5,NaN,1,0,NaN,NaN,NaN
2021-08-23,6,"north",180,"shrub","KOBMYO",1,-10,14,14,24,7.811,NaN
2021-08-23,6,"north",180,"shrub","KOBMYO",2,-3,9,9,10,1.681,NaN
2021-08-23,6,"north",180,"shrub","KOBMYO",3,9,14,14,18,3.77,NaN
2021-08-23,6,"north",180,"shrub","KOBMYO",4,3,3,3,2,1.056,NaN
2021-08-23,6,"north",180,"shrub","GEUROS",1,-4.5,1,1,0,NaN,NaN
NaN,6,"north",180,"shrub","SEDLAN",1,-34,2,0,NaN,NaN,NaN
2021-09-08,6,"north",180,"shrub","MINOBT",1,-5,3,3,8,1.831,NaN
2021-09-08,6,"north",180,"shrub","MINOBT",2,16.5,2,2,2,0.175,NaN
2021-09-08,6,"north",181,"control","MINOBT",1,NaN,27,27,71,11.302,NaN
NaN,6,"north",181,"control","LLOSER",1,NaN,1,0,NaN,NaN,NaN
NaN,6,"north",181,"control","LLOSER",2,NaN,1,0,NaN,NaN,NaN
NaN,6,"north",181,"control","LLOSER",3,NaN,1,0,NaN,NaN,NaN
2021-08-23,6,"north",181,"control","CARRUP",1,NaN,1,1,1,2.09,NaN
NaN,6,"north",181,"control","GEUROS",1,NaN,1,0,NaN,NaN,"eaten"
2021-09-08,6,"north",181,"control","AREFEN",1,NaN,13,13,25,6.319,NaN
2021-08-23,13,"north",142,"shrub","KOBMYO",1,43,7,7,11,2.922,NaN
2021-08-23,13,"north",142,"shrub","KOBMYO",2,25,3,3,6,0.931,NaN
2021-08-23,13,"north",142,"shrub","KOBMYO",3,27,4,4,12,8.219,NaN
2021-08-23,13,"north",142,"shrub","KOBMYO",4,34,3,3,8,3.461,NaN
2021-08-23,13,"north",142,"shrub","KOBMYO",5,4,1,1,3,0.494,NaN
2021-09-08,13,"north",142,"shrub","MINOBT",1,38,6,6,4,1.119,NaN
2021-09-08,13,"north",142,"shrub","MINOBT",2,42,6,6,4,0.976,NaN
2021-09-08,13,"north",142,"shrub","MINOBT",3,34,4,4,13,2.735,NaN
2021-08-23,13,"north",143,"control","KOBMYO",1,NaN,3,3,5,1.381,NaN
2021-08-23,13,"north",143,"control","KOBMYO",2,NaN,1,1,2,1.69,NaN
2021-08-23,13,"north",143,"control","KOBMYO",3,NaN,7,7,6,0.754,NaN
2021-08-23,13,"north",143,"control","KOBMYO",4,NaN,9,9,33,12.047,NaN
2021-08-23,13,"north",143,"control","KOBMYO",5,NaN,7,7,26,12.633,NaN
2021-08-23,13,"north",143,"control","CARRUP",1,NaN,1,1,1,1.037,NaN
2021-08-23,13,"north",143,"control","CARRUP",2,NaN,1,1,1,1.016,NaN
2021-08-23,13,"north",143,"control","CARRUP",3,NaN,1,1,0,NaN,NaN
2021-08-23,13,"north",143,"control","CARRUP",4,NaN,1,1,0,NaN,NaN
2021-08-23,13,"north",143,"control","CARRUP",5,NaN,1,1,0,NaN,NaN
NaN,13,"north",143,"control","LLOSER",1,NaN,1,0,NaN,NaN,NaN
NaN,13,"north",143,"control","LLOSER",2,NaN,1,0,NaN,NaN,NaN
NaN,13,"north",143,"control","LLOSER",3,NaN,1,0,NaN,NaN,NaN
NaN,13,"north",143,"control","POLVIV",1,NaN,1,0,NaN,NaN,NaN
2021-09-08,13,"north",143,"control","MINOBT",1,NaN,25,25,23,3.821,NaN
2021-09-08,13,"north",143,"control","MINOBT",2,NaN,5,5,15,2.472,NaN
2021-09-08,13,"north",143,"control","MINOBT",3,NaN,34,34,66,14.575,NaN
2021-09-08,13,"north",143,"control","MINOBT",4,NaN,9,9,12,2.052,NaN
2021-09-08,13,"north",143,"control","AREFEN",1,NaN,35,35,7,3.316,NaN
2021-08-23,15,"north",57,"shrub","GEUROS",1,27,2,2,9,2.929,NaN
2021-08-23,15,"north",57,"shrub","GEUROS",2,30.5,1,1,1,0.127,NaN
2021-08-23,15,"north",57,"shrub","GEUROS",3,0.5,2,2,11,1.185,NaN
NaN,15,"north",57,"shrub","CASOCC",1,46,1,0,NaN,NaN,NaN
NaN,15,"north",57,"shrub","POLVIV",1,4.5,1,0,NaN,NaN,NaN
2021-08-23,15,"north",58,"control","KOBMYO",1,NaN,5,5,13,2.153,NaN
NaN,15,"north",58,"control","POLVIV",1,NaN,1,0,NaN,NaN,NaN
NaN,15,"north",58,"control","POLVIV",2,NaN,1,0,NaN,NaN,NaN
NaN,15,"north",58,"control","POLVIV",3,NaN,1,0,NaN,NaN,NaN
NaN,15,"north",58,"control","POLVIV",4,NaN,1,0,NaN,NaN,NaN
NaN,15,"north",58,"control","POLVIV",5,NaN,1,0,NaN,NaN,NaN
2021-08-23,15,"north",58,"control","GEUROS",1,NaN,1,1,4,0.289,NaN
2021-08-23,15,"north",58,"control","GEUROS",2,NaN,1,1,6,0.786,NaN
NaN,15,"north",58,"control","GEUROS",3,NaN,1,NaN,NaN,NaN,"eaten"
2021-08-23,15,"north",58,"control","GEUROS",4,NaN,1,1,4,0.462,NaN
NaN,15,"north",58,"control","LLOSER",1,NaN,1,0,NaN,NaN,NaN
2021-08-23,26,"north",300,"shrub","KOBMYO",1,28,18,18,41,23.737,"smut"
2021-08-23,26,"north",300,"shrub","GEUROS",1,21,1,1,5,0.204,NaN
2021-08-23,26,"north",300,"shrub","GEUROS",2,40.5,1,1,3,0.213,NaN
2021-08-23,26,"north",300,"shrub","GEUROS",3,6,2,2,5,0.322,NaN
2021-08-23,26,"north",300,"shrub","GEUROS",4,-12.5,1,1,0,NaN,NaN
2021-08-23,26,"north",300,"shrub","GEUROS",5,42.5,1,1,0,NaN,NaN
2021-08-23,26,"north",167,"control","KOBMYO",1,NaN,1,1,3,2.852,NaN
2021-08-23,26,"north",167,"control","KOBMYO",2,NaN,9,9,17,7.808,NaN
2021-08-23,26,"north",167,"control","KOBMYO",3,NaN,7,7,15,3.312,NaN
2021-08-23,26,"north",167,"control","KOBMYO",4,NaN,1,1,4,1.98,NaN
2021-08-23,26,"north",167,"control","KOBMYO",5,NaN,4,4,13,7.035,NaN
NaN,26,"north",167,"control","POLVIV",1,NaN,1,0,NaN,NaN,NaN
