mnd,dir,loc,species,seeds
6,E,B,ASMIM,0
6,E,B,CRCR3,40
6,E,B,DEOB,200
6,E,B,OECEC2,2
6,E,B,PHIN,0
6,E,B,PLPA2,0
6,E,B,LEFE,2
6,E,B,SPWR,0
6,E,B,plant,1
6,E,B,litter,1
6,E,B,gravel,6.5
6,E,B,dist,0
6,E,B,soil,0.5
6,E,D,ASMIM,0
6,E,D,CRCR3,64
6,E,D,DEOB,48
6,E,D,OECEC2,0
6,E,D,PHIN,0
6,E,D,PLPA2,0
6,E,D,LEFE,0
6,E,D,SPWR,0
6,E,D,plant,1.75
6,E,D,litter,3
6,E,D,gravel,1
6,E,D,dist,0
6,E,D,soil,3.25
6,E,E,ASMIM,0
6,E,E,CRCR3,28
6,E,E,DEOB,4
6,E,E,OECEC2,0
6,E,E,PHIN,0
6,E,E,PLPA2,0
6,E,E,LEFE,0
6,E,E,SPWR,0
6,E,E,plant,2.75
6,E,E,litter,1
6,E,E,gravel,0.5
6,E,E,dist,0
6,E,E,soil,4.75
6,E,I,ASMIM,0
6,E,I,CRCR3,3
6,E,I,DEOB,2
6,E,I,OECEC2,0
6,E,I,PHIN,0
6,E,I,PLPA2,0
6,E,I,LEFE,6
6,E,I,SPWR,0
6,E,I,plant,0.1
6,E,I,litter,0.1
6,E,I,gravel,1.5
6,E,I,dist,0
6,E,I,soil,7.3
6,S,B,ASMIM,0
6,S,B,CRCR3,40
6,S,B,DEOB,320
6,S,B,OECEC2,0
6,S,B,PHIN,0
6,S,B,PLPA2,0
6,S,B,LEFE,0
6,S,B,SPWR,0
6,S,B,plant,2
6,S,B,litter,2
6,S,B,gravel,4
6,S,B,dist,0.25
6,S,B,soil,0.75
6,S,D,ASMIM,0
6,S,D,CRCR3,3
6,S,D,DEOB,4
6,S,D,OECEC2,0
6,S,D,PHIN,0
6,S,D,PLPA2,0
6,S,D,LEFE,4
6,S,D,SPWR,0
6,S,D,plant,0.1
6,S,D,litter,1
6,S,D,gravel,2
6,S,D,dist,1
6,S,D,soil,4.9
6,S,E,ASMIM,0
6,S,E,CRCR3,40
6,S,E,DEOB,0
6,S,E,OECEC2,0
6,S,E,PHIN,0
6,S,E,PLPA2,0
6,S,E,LEFE,2
6,S,E,SPWR,0
6,S,E,plant,3
6,S,E,litter,2
6,S,E,gravel,0.5
6,S,E,dist,0
6,S,E,soil,3.5
6,S,I,ASMIM,0
6,S,I,CRCR3,20
6,S,I,DEOB,0
6,S,I,OECEC2,0
6,S,I,PHIN,0
6,S,I,PLPA2,0
6,S,I,LEFE,4
6,S,I,SPWR,0
6,S,I,plant,0
6,S,I,litter,0.25
6,S,I,gravel,3
6,S,I,dist,0
6,S,I,soil,5.75
6,W,B,ASMIM,0
6,W,B,CRCR3,7
6,W,B,DEOB,61
6,W,B,OECEC2,3
6,W,B,PHIN,7
6,W,B,PLPA2,0
6,W,B,LEFE,5
6,W,B,SPWR,2
6,W,B,plant,0
6,W,B,litter,2
6,W,B,gravel,3.5
6,W,B,dist,0
6,W,B,soil,3.5
6,W,D,ASMIM,0
6,W,D,CRCR3,168
6,W,D,DEOB,40
6,W,D,OECEC2,0
6,W,D,PHIN,0
6,W,D,PLPA2,0
6,W,D,LEFE,16
6,W,D,SPWR,0
6,W,D,plant,1.75
6,W,D,litter,3.5
6,W,D,gravel,0.5
6,W,D,dist,0
6,W,D,soil,3.25
6,W,E,ASMIM,0
6,W,E,CRCR3,10
6,W,E,DEOB,0
6,W,E,OECEC2,0
6,W,E,PHIN,0
6,W,E,PLPA2,0
6,W,E,LEFE,2
6,W,E,SPWR,0
6,W,E,plant,4.5
6,W,E,litter,1.5
6,W,E,gravel,1.25
6,W,E,dist,0
6,W,E,soil,1.75
6,W,I,ASMIM,0
6,W,I,CRCR3,3
6,W,I,DEOB,0
6,W,I,OECEC2,0
6,W,I,PHIN,0
6,W,I,PLPA2,0
6,W,I,LEFE,4
6,W,I,SPWR,0
6,W,I,plant,0.25
6,W,I,litter,0.1
6,W,I,gravel,2
6,W,I,dist,0
6,W,I,soil,6.65
9,N,B,ASMIM,0
9,N,B,CRCR3,8
9,N,B,DEOB,40
9,N,B,OECEC2,0
9,N,B,PHIN,0
9,N,B,PLPA2,0
9,N,B,LEFE,8
9,N,B,SPWR,0
9,N,B,plant,0
9,N,B,litter,2.5
9,N,B,gravel,1.5
9,N,B,dist,0
9,N,B,soil,5
9,N,D,ASMIM,0
9,N,D,CRCR3,0
9,N,D,DEOB,96
9,N,D,OECEC2,0
9,N,D,PHIN,4
9,N,D,PLPA2,0
9,N,D,LEFE,8
9,N,D,SPWR,0
9,N,D,plant,1
9,N,D,litter,3.5
9,N,D,gravel,3.5
9,N,D,dist,0
9,N,D,soil,1
9,N,E,ASMIM,2
9,N,E,CRCR3,0
9,N,E,DEOB,4
9,N,E,OECEC2,0
9,N,E,PHIN,0
9,N,E,PLPA2,0
9,N,E,LEFE,26
9,N,E,SPWR,0
9,N,E,plant,5
9,N,E,litter,0.5
9,N,E,gravel,0.5
9,N,E,dist,0
